level,year,subject,grade,gap_pair,T,B,W,B_pct,W_pct,n_units_a,n_units_b,n_units_both
District,2015-16,ELA,3,BW,37.6646338268692,18.859086974239844,18.805546852629355,50.07107479373966,49.92892520626034,257,36,36
District,2015-16,ELA,3,HW,26.048037821753205,9.151239816882681,16.896798004870526,35.132165729736116,64.86783427026388,257,106,105
District,2015-16,ELA,4,BW,39.30326838354963,18.23745083189486,21.065817551654767,46.401868297365674,53.598131702634326,252,31,31
District,2015-16,ELA,4,HW,28.151620099910456,10.04299333635797,18.108626763552486,35.67465496023056,64.32534503976943,252,110,109
District,2015-16,ELA,5,BW,37.95413530512729,18.44524855180027,19.50888675332702,48.598784832040344,51.401215167959656,255,38,38
District,2015-16,ELA,5,HW,26.37334005195025,9.555252550399565,16.818087501550686,36.23072592086407,63.769274079135926,255,96,94
District,2015-16,ELA,6,BW,39.74509638524561,17.753698030394947,21.991398354850663,44.668901688676165,55.33109831132383,250,44,44
District,2015-16,ELA,6,HW,29.673391941257346,9.992568106390818,19.68082383486653,33.67517985868455,66.32482014131546,250,98,98
District,2015-16,ELA,7,BW,35.89976744252674,16.10550121573107,19.794266226795667,44.86241099337193,55.137589006628076,255,35,35
District,2015-16,ELA,7,HW,24.658470954542164,7.495686906641706,17.16278404790046,30.398019895313006,69.601980104687,255,101,99
District,2015-16,ELA,8,BW,34.851905046809165,15.881933034966842,18.969972011842323,45.56977018511904,54.43022981488096,242,36,36
District,2015-16,ELA,8,HW,24.098192197263625,7.841243583655362,16.256948613608262,32.53872124293931,67.4612787570607,242,101,100
District,2015-16,Mathematics,3,BW,41.82128978147675,20.791188073899104,21.030101707577646,49.71436362325635,50.285636376743646,257,34,34
District,2015-16,Mathematics,3,HW,30.962661520155134,11.241826342928155,19.72083517722698,36.30768735953236,63.69231264046765,257,106,105
District,2015-16,Mathematics,4,BW,43.01963271255996,21.40484027785882,21.61479243470114,49.75598099797232,50.24401900202767,252,29,29
District,2015-16,Mathematics,4,HW,33.9658326149487,13.583693254659236,20.382139360289464,39.99222809771758,60.007771902282414,252,108,107
District,2015-16,Mathematics,5,BW,43.75271673571176,22.399649959140906,21.353066776570852,51.196020796710684,48.80397920328932,255,37,37
District,2015-16,Mathematics,5,HW,30.703405508992294,11.847462174510552,18.855943334481744,38.58680162055871,61.4131983794413,255,97,95
District,2015-16,Mathematics,6,BW,41.67556917236586,20.675168996951836,21.000400175414025,49.60980595475844,50.39019404524155,249,44,44
District,2015-16,Mathematics,6,HW,32.96449766278161,13.25504827079674,19.70944939198487,40.21007207933971,59.78992792066028,249,98,98
District,2015-16,Mathematics,7,BW,40.64688268779193,20.561773636661343,20.085109051130587,50.58634826831864,49.413651731681355,255,35,35
District,2015-16,Mathematics,7,HW,31.1693759823295,11.7514419917035,19.417933990625997,37.70188404915649,62.2981159508435,255,103,101
District,2015-16,Mathematics,8,BW,36.03820887160374,19.353712404897013,16.68449646670673,53.703313818536486,46.29668618146352,241,38,38
District,2015-16,Mathematics,8,HW,27.979250058187645,11.535825554435164,16.44342450375248,41.229931218472395,58.7700687815276,241,95,94
District,2016-17,ELA,3,BW,37.67921728754573,19.077124380735096,18.602092906810636,50.63036271467544,49.36963728532456,254,33,33
District,2016-17,ELA,3,HW,28.201775920819006,10.306419605573945,17.89535631524506,36.54528578097658,63.454714219023415,254,114,112
District,2016-17,ELA,4,BW,40.675251683433146,19.86214794894815,20.813103734484997,48.83103884281045,51.16896115718956,258,32,32
District,2016-17,ELA,4,HW,28.226105597195964,10.396498013812948,17.829607583383016,36.83291688261011,63.16708311738989,258,101,99
District,2016-17,ELA,5,BW,41.744298260885074,19.99107070671919,21.753227554165885,47.88934426872632,52.11065573127368,256,39,39
District,2016-17,ELA,5,HW,27.721478532670876,9.831797140006415,17.88968139266446,35.4663519423008,64.53364805769921,256,116,115
District,2016-17,ELA,6,BW,39.345727901299,18.823938941435845,20.521788959863155,47.84239597411126,52.15760402588874,254,44,44
District,2016-17,ELA,6,HW,28.86018562694212,9.940280351241196,18.919905275700923,34.4428843242143,65.5571156757857,254,109,107
District,2016-17,ELA,7,BW,36.84441397849462,16.48716503793298,20.357248940561643,44.74807238773351,55.251927612266485,257,44,44
District,2016-17,ELA,7,HW,26.027213029617247,8.605229742200024,17.421983287417223,33.06243251018786,66.93756748981214,257,106,106
District,2016-17,ELA,8,BW,36.15173498318478,18.039358455465283,18.112376527719498,49.89901166252715,50.10098833747285,264,40,40
District,2016-17,ELA,8,HW,25.03169908355985,8.411808148665525,16.619890934894325,33.604623164354734,66.39537683564527,264,113,110
District,2016-17,Mathematics,3,BW,41.4491638468708,19.84417569323426,21.604988153636544,47.87593729645861,52.12406270354139,254,35,35
District,2016-17,Mathematics,3,HW,31.535339586071384,11.049586030611204,20.485753555460178,35.03874122063241,64.96125877936758,254,113,111
District,2016-17,Mathematics,4,BW,42.15370694170495,21.566118198633948,20.587588743071,51.16066833329294,48.83933166670707,258,31,31
District,2016-17,Mathematics,4,HW,33.271638392742986,13.24364367141029,20.027994721332696,39.80460329329293,60.195396706707065,258,95,93
District,2016-17,Mathematics,5,BW,41.72695671931744,21.491475482779006,20.235481236538437,51.50501539650878,48.49498460349122,256,39,39
District,2016-17,Mathematics,5,HW,30.274638280926098,11.662663175439215,18.611975105486884,38.52288198200218,61.47711801799782,256,115,114
District,2016-17,Mathematics,6,BW,41.62821526859531,21.09848032471051,20.5297349438848,50.683124867539995,49.316875132460005,254,44,44
District,2016-17,Mathematics,6,HW,32.84069332036875,13.366488528202487,19.47420479216626,40.7009937269266,59.299006273073395,254,105,103
District,2016-17,Mathematics,7,BW,40.50099195417616,19.596972378158135,20.904019576018023,48.38640100551276,51.61359899448724,257,42,42
District,2016-17,Mathematics,7,HW,31.231652757629693,11.776740298995744,19.45491245863395,37.70770759520167,62.292292404798324,257,105,105
District,2016-17,Mathematics,8,BW,36.44166434411611,19.784422927803792,16.65724141631232,54.290667794370904,45.70933220562909,263,36,36
District,2016-17,Mathematics,8,HW,27.533436602623063,10.60053369325136,16.932902909371702,38.50058329529946,61.49941670470054,263,110,108
District,2017-18,ELA,3,BW,36.53110607513065,18.091884274268494,18.439221800862157,49.52460031475735,50.47539968524265,265,30,30
District,2017-18,ELA,3,HW,27.81516919023339,9.81454101576366,18.000628174469732,35.28485104167475,64.71514895832526,265,106,104
District,2017-18,ELA,4,BW,41.08896544941331,19.524999196668205,21.563966252745104,47.51883865439838,52.48116134560162,256,34,34
District,2017-18,ELA,4,HW,28.05830512550846,9.888642034415165,18.169663091093298,35.24319088477361,64.75680911522639,256,111,109
District,2017-18,ELA,5,BW,40.1725467674209,19.854623638610114,20.317923128810783,49.423363058256,50.576636941744,262,39,39
District,2017-18,ELA,5,HW,26.37568474706963,9.257437687158001,17.11824705991163,35.09837858593041,64.9016214140696,262,104,102
District,2017-18,ELA,6,BW,39.467710812748855,17.519027968907242,21.948682843841613,44.38825462166974,55.611745378330255,263,38,38
District,2017-18,ELA,6,HW,27.121329430484113,8.896950956322087,18.224378474162027,32.80425828360021,67.1957417163998,263,124,123
District,2017-18,ELA,7,BW,37.53171949765115,17.40174914018095,20.129970357470203,46.36544600966125,53.63455399033875,251,42,42
District,2017-18,ELA,7,HW,25.150833501745176,8.202801925604478,16.9480315761407,32.6144337325254,67.3855662674746,251,104,103
District,2017-18,ELA,8,BW,34.75109334570052,14.750936235969494,20.000157109731024,42.44740183921296,57.55259816078704,256,42,42
District,2017-18,ELA,8,HW,24.740802254316907,7.7321613063324115,17.008640947984496,31.252670090693048,68.74732990930696,256,110,110
District,2017-18,Mathematics,3,BW,44.217173600050074,21.80932244163744,22.407851158412633,49.323194283980065,50.67680571601993,265,32,32
District,2017-18,Mathematics,3,HW,31.96734116508003,11.555663481143528,20.411677683936503,36.1483409629529,63.851659037047106,265,105,103
District,2017-18,Mathematics,4,BW,44.62881913354097,23.22918094220724,21.399638191333732,52.04973242222592,47.950267577774085,256,35,35
District,2017-18,Mathematics,4,HW,32.27423433504687,13.160279733395084,19.113954601651784,40.77642740266102,59.22357259733898,256,109,107
District,2017-18,Mathematics,5,BW,42.18559812642683,22.130067860234508,20.055530266192324,52.45882206982696,47.54117793017304,263,40,40
District,2017-18,Mathematics,5,HW,29.745632088962612,11.987876444957017,17.757755644005595,40.301300066859994,59.698699933140006,263,106,104
District,2017-18,Mathematics,6,BW,41.867381575539774,21.057582729460325,20.80979884607945,50.295915189888106,49.70408481011189,264,38,38
District,2017-18,Mathematics,6,HW,30.610213130336053,12.017267453726324,18.59294567660973,39.25901267840794,60.74098732159206,264,125,124
District,2017-18,Mathematics,7,BW,38.86260441081782,19.114700617936155,19.74790379288167,49.18533100837517,50.81466899162483,251,36,36
District,2017-18,Mathematics,7,HW,29.29625320607289,11.08523469260912,18.21101851346377,37.83840416258839,62.16159583741161,251,100,99
District,2017-18,Mathematics,8,BW,37.401279068263015,17.844357389974107,19.55692167828891,47.710553848721176,52.289446151278824,255,39,39
District,2017-18,Mathematics,8,HW,28.29898125468593,10.338514401468817,17.960466853217113,36.533168132181075,63.46683186781892,255,108,108
District,2018-19,ELA,3,BW,36.06269793802688,17.636626786487295,18.426071151539585,48.90545576150606,51.09454423849393,258,35,35
District,2018-19,ELA,3,HW,26.579165533892155,9.681719221912388,16.897446311979767,36.42597134799752,63.57402865200248,258,106,103
District,2018-19,ELA,4,BW,38.89440406417768,19.16137631032672,19.73302775385096,49.26512379186864,50.73487620813136,275,38,38
District,2018-19,ELA,4,HW,26.907580586712676,9.592057116216264,17.315523470496412,35.64815902085582,64.35184097914419,275,106,104
District,2018-19,ELA,5,BW,37.344506121308946,17.815886414653683,19.528619706655263,47.70684704406321,52.29315295593678,258,39,39
District,2018-19,ELA,5,HW,27.327532049181986,10.024120624274762,17.303411424907225,36.68139737695348,63.31860262304652,258,110,108
District,2018-19,ELA,6,BW,35.51965535184828,16.847889727756606,18.671765624091673,47.432582216426034,52.56741778357396,271,36,36
District,2018-19,ELA,6,HW,24.712378998364514,9.474514082366701,15.237864915997813,38.33914202672973,61.660857973270275,271,111,109
District,2018-19,ELA,7,BW,38.44206517629894,16.23221475677213,22.20985041952681,42.22513718326438,57.77486281673563,263,38,38
District,2018-19,ELA,7,HW,25.81856752962515,7.768704769051864,18.049862760573284,30.08960415847151,69.91039584152848,263,120,119
District,2018-19,ELA,8,BW,32.37192080592597,14.90857983955403,17.463340966371938,46.054047669685644,53.94595233031436,265,41,41
District,2018-19,ELA,8,HW,22.543829027118722,7.456956470736489,15.086872556382232,33.07759503395039,66.9224049660496,265,107,106
District,2018-19,Mathematics,3,BW,44.81978027834714,22.795783384823586,22.023996893523552,50.86098870466004,49.13901129533996,259,34,34
District,2018-19,Mathematics,3,HW,30.864177098006802,11.645886560684254,19.21829053732255,37.732697436590136,62.26730256340986,259,109,106
District,2018-19,Mathematics,4,BW,43.93740355924774,23.008010219064534,20.929393340183207,52.36542980524373,47.63457019475627,275,37,37
District,2018-19,Mathematics,4,HW,30.970702194612493,12.499709305761417,18.470992888851075,40.359786572536294,59.640213427463706,275,106,104
District,2018-19,Mathematics,5,BW,41.403124330694816,20.785202260999064,20.61792206969575,50.20201397117668,49.79798602882332,258,37,37
District,2018-19,Mathematics,5,HW,29.758600938073798,11.96435788742989,17.794243050643907,40.204705565047014,59.79529443495298,258,113,111
District,2018-19,Mathematics,6,BW,40.22295752317493,20.297907398949793,19.925050124225134,50.4634881392173,49.536511860782696,270,38,38
District,2018-19,Mathematics,6,HW,29.63414397500089,12.012270865726562,17.621873109274325,40.53523825712668,59.46476174287331,270,110,108
District,2018-19,Mathematics,7,BW,40.17029232008752,18.77432582548987,21.395966494597648,46.73684143468779,53.2631585653122,263,35,35
District,2018-19,Mathematics,7,HW,29.12033059204298,10.307655457629942,18.812675134413038,35.396766616538585,64.60323338346141,263,118,117
District,2018-19,Mathematics,8,BW,35.341053078375396,18.11725832406286,17.223794754312536,51.26405906435343,48.73594093564657,265,38,38
District,2018-19,Mathematics,8,HW,26.7154775756987,10.235667286994294,16.479810288704407,38.313622722975396,61.686377277024604,265,106,105
District,2021-22,ELA,3,BW,36.76129717674783,17.932712425916783,18.828584750831048,48.78150066276644,51.21849933723356,263,26,26
District,2021-22,ELA,3,HW,27.5761997254122,10.775143818892069,16.80105590652013,39.07407085162096,60.92592914837903,263,111,110
District,2021-22,ELA,4,BW,40.42302447332649,19.284922697219486,21.138101776107007,47.70776790822473,52.29223209177526,253,31,31
District,2021-22,ELA,4,HW,29.410307284747656,10.839465372855516,18.57084191189214,36.85600856838691,63.14399143161309,253,125,122
District,2021-22,ELA,5,BW,41.26813952124706,21.109171225666184,20.158968295580873,51.15125486768805,48.84874513231194,269,38,38
District,2021-22,ELA,5,HW,27.3000949940666,10.351652782228145,16.948442211838454,37.91801011856542,62.08198988143458,269,112,110
District,2021-22,ELA,6,BW,35.433289545305115,16.38393783663034,19.049351708674774,46.238828081941946,53.761171918058054,276,36,36
District,2021-22,ELA,6,HW,25.697442948259603,9.986823595398068,15.710619352861535,38.863102509872256,61.13689749012775,276,119,118
District,2021-22,ELA,7,BW,34.38159377294486,15.820631022401892,18.56096275054297,46.01482737211347,53.985172627886534,279,31,31
District,2021-22,ELA,7,HW,25.821241035980723,9.790669203390514,16.03057183259021,37.917113239242305,62.08288676075769,279,111,110
District,2021-22,ELA,8,BW,29.41491491423335,13.062644907460584,16.352270006772766,44.40823624867874,55.59176375132126,268,34,34
District,2021-22,ELA,8,HW,22.35821715378382,7.753661372567016,14.604555781216803,34.67924709396973,65.32075290603026,268,118,116
District,2021-22,Mathematics,3,BW,46.23652533007769,24.421039611396683,21.815485718681007,52.81763592107635,47.18236407892364,263,27,27
District,2021-22,Mathematics,3,HW,32.48638627759911,14.232672493286687,18.253713784312424,43.811190237249576,56.18880976275043,263,113,112
District,2021-22,Mathematics,4,BW,47.376903098966345,24.777995684249902,22.598907414716443,52.299736925587474,47.70026307441251,253,31,31
District,2021-22,Mathematics,4,HW,34.36468609888777,13.85067440814478,20.514011690742993,40.30496413756872,59.69503586243129,253,129,126
District,2021-22,Mathematics,5,BW,48.15774914064956,26.588185167306737,21.56956397334282,55.210606063944695,44.789393936055305,269,35,35
District,2021-22,Mathematics,5,HW,32.27138168239928,13.364440714568067,18.90694096783121,41.4126697334964,58.58733026650359,269,110,108
District,2021-22,Mathematics,6,BW,39.26632229983858,21.27728798733644,17.989034312502138,54.18711695193291,45.81288304806709,276,37,37
District,2021-22,Mathematics,6,HW,30.942195051552616,14.078953067376698,16.863241984175918,45.500821916220985,54.499178083779015,276,115,114
District,2021-22,Mathematics,7,BW,34.440798736106075,17.057768985601637,17.383029750504438,49.52779729733473,50.47220270266528,277,27,27
District,2021-22,Mathematics,7,HW,28.927026757388823,12.652729329606322,16.2742974277825,43.74016533301142,56.259834666988574,277,106,105
District,2021-22,Mathematics,8,BW,30.703169158810198,16.460424569656855,14.242744589153343,53.61148383255276,46.388516167447236,268,32,32
District,2021-22,Mathematics,8,HW,25.063199315269728,10.67677171311276,14.386427602156967,42.599396744245446,57.40060325575455,268,115,113
District,2022-23,ELA,3,BW,41.06218277900019,19.403716073642578,21.65846670535761,47.25446812721784,52.74553187278215,276,26,26
District,2022-23,ELA,3,HW,28.24452498659545,9.58637248856643,18.65815249802902,33.94063979874337,66.05936020125662,276,119,116
District,2022-23,ELA,4,BW,45.72846898274101,22.743553928148373,22.98491505459264,49.736093147427084,50.26390685257291,258,28,28
District,2022-23,ELA,4,HW,29.842079025242022,11.634046029499434,18.208032995742588,38.98537370556099,61.01462629443901,258,117,115
District,2022-23,ELA,5,BW,43.38756435257205,20.693297600600843,22.694266751971206,47.694075271072755,52.305924728927245,261,31,31
District,2022-23,ELA,5,HW,28.130691009682177,9.976100773677821,18.154590236004356,35.46340461471135,64.53659538528865,261,126,124
District,2022-23,ELA,6,BW,40.53331830048183,20.250860045370004,20.282458255111827,49.96102193076375,50.03897806923625,267,32,32
District,2022-23,ELA,6,HW,27.59875297795934,10.24453986107832,17.35421311688102,37.1195751824719,62.880424817528095,267,111,109
District,2022-23,ELA,7,BW,36.33452683033336,15.994710203096686,20.339816627236672,44.020692158136846,55.979307841863154,272,35,35
District,2022-23,ELA,7,HW,24.40199834906012,8.091493117716876,16.310505231343242,33.159141321016165,66.84085867898384,272,117,116
District,2022-23,ELA,8,BW,32.51924781432369,14.20756591409044,18.311681900233253,43.68971261331715,56.31028738668285,285,36,36
District,2022-23,ELA,8,HW,24.322002138507777,8.813457995508061,15.508544142999716,36.2365645119082,63.7634354880918,285,118,117
District,2022-23,Mathematics,3,BW,50.35831963176816,25.80485836263717,24.55346126913099,51.24249290152718,48.75750709847282,275,27,27
District,2022-23,Mathematics,3,HW,33.684705477473486,12.416213573235,21.268491904238488,36.86009242841174,63.13990757158827,275,120,117
District,2022-23,Mathematics,4,BW,48.35842034549512,26.10394908690275,22.254471258592368,53.98015257819416,46.01984742180584,258,26,26
District,2022-23,Mathematics,4,HW,33.526917234902726,14.444655798432265,19.08226143647046,43.083757737782285,56.916242262217715,258,116,114
District,2022-23,Mathematics,5,BW,50.31395304599806,27.037892360370467,23.276060685627595,53.73835829526625,46.26164170473375,260,33,33
District,2022-23,Mathematics,5,HW,34.23673846017637,13.790845157713997,20.445893302462373,40.2808380060948,59.71916199390521,260,126,124
District,2022-23,Mathematics,6,BW,45.15017739770868,25.001885700078855,20.148291697629826,55.37494455414404,44.62505544585596,269,32,32
District,2022-23,Mathematics,6,HW,33.319430645836995,14.147740109276505,19.17169053656049,42.460929959030246,57.539070040969754,269,112,110
District,2022-23,Mathematics,7,BW,37.46225017921939,19.07053071055477,18.39171946866462,50.90599368516669,49.09400631483331,272,31,31
