level,year,subject,gap_pair,T,B,W,B_pct,W_pct
District,2015-16,ELA,BW,37.57069398289429,17.549619558835783,20.0210744240585,46.7109273169828,53.28907268301718
District,2015-16,ELA,HW,26.50157768849901,9.012707665585893,17.488870022913115,34.008192914104015,65.99180708589597
District,2015-16,Mathematics,BW,41.159414605076066,20.86237660141251,20.297038003663555,50.68676705338666,49.31323294661335
District,2015-16,Mathematics,HW,31.29053323661929,12.199389451793397,19.091143784825892,38.98747700955272,61.01252299044728
District,2016-17,ELA,BW,38.731584144262875,18.707021506841677,20.02456263742119,48.29913859749178,51.7008614025082
District,2016-17,ELA,HW,27.33717607163324,9.577732140189546,17.7594439314437,35.03555786117937,64.96444213882064
District,2016-17,Mathematics,BW,40.642896095440875,20.561169065842495,20.081727029598383,50.5898226778897,49.41017732211031
District,2016-17,Mathematics,HW,31.112372635612452,11.950205803482708,19.162166832129746,38.40981831711552,61.59018168288449
District,2017-18,ELA,BW,38.26224416793127,17.852966365846342,20.40927780208493,46.659485751777844,53.340514248222156
District,2017-18,ELA,HW,26.53417012762024,8.95951463629075,17.574655491329487,33.76595006815199,66.234049931848
District,2017-18,Mathematics,BW,41.51036404988139,20.858624292983656,20.651739756897737,50.24919624390347,49.75080375609654
District,2017-18,Mathematics,HW,30.35228265973264,11.689762204638663,18.662520455093983,38.51361802236733,61.48638197763269
District,2018-19,ELA,BW,36.425987865255635,17.081049557850577,19.344938307405055,46.89248132689099,53.107518673109
District,2018-19,ELA,HW,25.622503365409834,8.987732254231034,16.634771111178793,35.07749467744981,64.92250532255017
District,2018-19,Mathematics,BW,40.91556914600402,20.58968191749641,20.325887228507607,50.322364682313804,49.67763531768619
District,2018-19,Mathematics,HW,29.48635724748378,11.438237797373086,18.048119450110697,38.79162726467057,61.208372735329434
District,2021-22,ELA,BW,36.12501806020954,17.1658994477896,18.959118612419942,47.518036999121236,52.481963000878764
District,2021-22,ELA,HW,26.267582503484984,9.872033973812854,16.39554852967213,37.5825752998134,62.4174247001866
District,2021-22,Mathematics,BW,40.73410234742362,21.59996369733833,19.13413865008529,53.02673301380483,46.97326698619516
District,2021-22,Mathematics,HW,30.545585200945172,13.094739710434068,17.450845490511103,42.86950020531568,57.13049979468431
District,2022-23,ELA,BW,39.761387042089055,18.774996460881244,20.98639058120781,47.21916879058354,52.780831209416455
District,2022-23,ELA,HW,27.01462220068377,9.693494914848038,17.321127285835736,35.88240043794758,64.11759956205243
District,2022-23,Mathematics,BW,43.96745081200546,23.380919543597745,20.58653126840771,53.177792007021495,46.822207992978505
District,2022-23,Mathematics,HW,31.70860963992081,13.05198697555922,18.656622664361592,41.16228091920784,58.83771908079217
County,2015-16,ELA,BW,40.21547841715532,9.548871164056951,30.66660725309837,23.744268475452344,76.25573152454766
County,2015-16,ELA,HW,26.676015931410706,2.4044293660419327,24.271586565368775,9.01345003026012,90.98654996973988
County,2015-16,Mathematics,BW,44.84019124640159,12.614781208712984,32.2254100376886,28.132755142353048,71.86724485764694
County,2015-16,Mathematics,HW,31.13940494187372,3.936867687097951,27.20253725477577,12.642719713002524,87.35728028699748
County,2016-17,ELA,BW,41.3927114925621,10.497192704296426,30.895518788265687,25.36000258447113,74.6399974155289
County,2016-17,ELA,HW,27.4645445046873,2.914065095995587,24.550479408691714,10.610280084922769,89.38971991507724
County,2016-17,Mathematics,BW,44.48078061671687,12.6295225281719,31.851258088544974,28.393212423581982,71.60678757641803
County,2016-17,Mathematics,HW,31.000275817191348,4.106638869523065,26.89363694766828,13.247104295909876,86.75289570409011
County,2017-18,ELA,BW,40.94924271541263,10.197252708401003,30.75199000701163,24.902176529293722,75.09782347070629
County,2017-18,ELA,HW,26.610078622774157,2.5578518168413424,24.05222680593281,9.612342199741613,90.38765780025837
County,2017-18,Mathematics,BW,45.26180571719939,13.137079005643768,32.124726711555624,29.02464627179403,70.97535372820597
County,2017-18,Mathematics,HW,30.341005647905703,4.0522723483165075,26.288733299589186,13.355761491037516,86.64423850896245
County,2018-19,ELA,BW,39.267287473682664,9.770612261595263,29.4966752120874,24.88232034907842,75.11767965092157
County,2018-19,ELA,HW,25.53231695301879,2.516876440973933,23.015440512044854,9.857610829464313,90.1423891705357
County,2018-19,Mathematics,BW,44.54967125941534,13.151100742422575,31.398570516992766,29.52008481912907,70.47991518087093
County,2018-19,Mathematics,HW,29.538177388179108,4.151445888275782,25.38673149990332,14.054509300689453,85.94549069931053
County,2021-22,ELA,BW,39.55708703220844,10.910151092182161,28.646935940026278,27.58077480098275,72.41922519901725
County,2021-22,ELA,HW,25.973797481891264,3.2307696496675247,22.743027832223742,12.438572572685967,87.56142742731404
County,2021-22,Mathematics,BW,45.87161490868029,14.913978749034417,30.957636159645876,32.512434495111364,67.48756550488864
County,2021-22,Mathematics,HW,30.56751695772528,5.002818597649531,25.564698360075745,16.366453986329358,83.63354601367062
County,2022-23,ELA,BW,42.18429445368655,10.789812421950666,31.394482031735883,25.57779515264058,74.42220484735942
County,2022-23,ELA,HW,26.88669819176934,2.926685425707821,23.960012766061517,10.885254131367269,89.11474586863272
County,2022-23,Mathematics,BW,47.77381480823365,14.695662127696076,33.07815268053758,30.760914083761485,69.23908591623852
County,2022-23,Mathematics,HW,31.660450344061243,4.897122951777353,26.763327392283895,15.467635168038406,84.53236483196162
School,2015-16,ELA,BW,30.125679035437567,5.775875253701576,24.34980378173599,19.17259772603723,80.82740227396278
School,2015-16,ELA,HW,23.045594618331098,5.958120655908719,17.08747396242238,25.853620852852575,74.14637914714743
School,2015-16,Mathematics,BW,35.22421443210695,7.355163555433062,27.869050876673878,20.88098677008057,79.1190132299194
School,2015-16,Mathematics,HW,26.98842718098741,7.420739306129459,19.567687874857953,27.496005070488735,72.50399492951126
School,2016-17,ELA,BW,30.93770459806846,6.168956639222636,24.76874795884582,19.939929995995193,80.0600700040048
School,2016-17,ELA,HW,23.30290653184149,5.471103393801713,17.831803138039778,23.47820168409423,76.52179831590577
School,2016-17,Mathematics,BW,35.1993642873997,7.423741708867532,27.77562257853217,21.090556205087506,78.90944379491249
School,2016-17,Mathematics,HW,26.048812118416926,6.543577053729076,19.505235064687852,25.120443204788838,74.87955679521117
School,2017-18,ELA,BW,30.99999009321356,5.9388548651739,25.061135228039664,19.15760246153762,80.8423975384624
School,2017-18,ELA,HW,22.500888168753242,5.204330537118766,17.296557631634474,23.129444927182774,76.87055507281723
School,2017-18,Mathematics,BW,36.46203980420463,7.413497646722387,29.04854215748224,20.332097947705872,79.66790205229412
School,2017-18,Mathematics,HW,25.463913107031637,6.385069880957115,19.07884322607452,25.07497513881295,74.92502486118704
School,2018-19,ELA,BW,30.040200169502747,5.850719471857873,24.189480697644868,19.47629988763394,80.52370011236604
School,2018-19,ELA,HW,21.271022294276346,5.078421239588815,16.192601054687533,23.874833890589866,76.12516610941015
School,2018-19,Mathematics,BW,35.86749207015524,7.257184013541557,28.610308056613682,20.23331879281335,79.76668120718665
School,2018-19,Mathematics,HW,24.618601933712036,5.942419783886064,18.676182149825973,24.13792545931976,75.86207454068024
School,2021-22,ELA,BW,30.51726950401683,7.118416761774535,23.398852742242294,23.32586393693438,76.67413606306562
School,2021-22,ELA,HW,21.39754739234304,5.559348620686853,15.838198771656188,25.981242236557573,74.01875776344244
School,2021-22,Mathematics,BW,36.168764372092184,9.09675061427852,27.072013757813664,25.150847069847845,74.84915293015216
School,2021-22,Mathematics,HW,25.244627173388295,6.9506937196356,18.293933453752697,27.533358571295107,72.4666414287049
School,2022-23,ELA,BW,29.99336406363681,6.7519089365797775,23.241455127057034,22.511342583160317,77.48865741683969
School,2022-23,ELA,HW,22.15374667790758,5.89867506816542,16.25507160974216,26.626083406685183,73.37391659331482
School,2022-23,Mathematics,BW,35.333746077913474,8.540066120500938,26.793679957412536,24.16971611690839,75.83028388309161
School,2022-23,Mathematics,HW,26.209345615910355,7.125513996651679,19.08383161925867,27.186920654463588,72.8130793455364
